theater_code,theater_name,theater_city_state,city,state_abbr,demographics_status,population,median_household_income,median_age,pct_white_alone,pct_black_alone,pct_asian_alone,pct_hispanic_latino,pct_bachelors_degree,pct_below_poverty,matched_place_name,source
CLRK,Beacon Movie Theater,"Beacon, NY",Beacon,NY,matched,14629,93347,41.6,68.3,12.59,1.39,19.39,23.59,8.37,"Beacon city, New York",US Census ACS5 2023
AMC,"AMC Garden State Plaza 15 with IMAX, Dolby","Paramus, NJ",Paramus,NJ,matched,26500,139707,49.1,59.24,4.26,23.69,13.2,31.7,5.53,"Paramus borough, New Jersey",US Census ACS5 2023
AMC,AMC Ridgefield Park 12,"Ridgefield Park, NJ",Ridgefield Park,NJ,matched,13167,98184,38,49.68,6.83,7.91,49.5,23.89,13.02,"Ridgefield Park village, New Jersey",US Census ACS5 2023
REG,Regal UA Kaufman Astoria,"Astoria, NY",Astoria,NY,matched,8516202,79713,38,35.85,22.7,14.62,28.42,23.64,17.36,"New York city, New York",US Census ACS5 2023
AMC,AMC DINE-IN Menlo Park 12,"Edison, NJ",Edison,NJ,no-match,,,,,,,,,,,
AMC,AMC DINE-IN Essex Green 9,"West Orange, NJ",West Orange,NJ,no-match,,,,,,,,,,,
AMC,AMC Bay Plaza 13,"Bronx, NY",Bronx,NY,matched,8516202,79713,38,35.85,22.7,14.62,28.42,23.64,17.36,"New York city, New York",US Census ACS5 2023
REG,Regal Times Square,"New York, NY",New York,NY,matched,8516202,79713,38,35.85,22.7,14.62,28.42,23.64,17.36,"New York city, New York",US Census ACS5 2023
AMC,"AMC Clifton Commons 16 with IMAX, Dolby","Clifton, NJ",Clifton,NJ,matched,89247,99003,41.1,55.27,4.73,7.76,39.36,23.5,7.43,"Clifton city, New Jersey",US Census ACS5 2023
AMC,AMC Freehold 14,"Freehold, NJ",Freehold,NJ,matched,12504,82183,35.4,51.75,7.03,3.05,52.24,20.55,14.29,"Freehold borough, New Jersey",US Census ACS5 2023
READ,Reading Manville with Titan Luxe,"Manville, NJ",Manville,NJ,matched,10870,93872,42.4,61.67,8.36,2.8,25.55,19.42,12.28,"Manville borough, New Jersey",US Census ACS5 2023
BRIE,Hillsborough 10,"Hillsborough, NJ",Hillsborough,NJ,matched,22302,142275,41.7,63.68,3.52,17.96,12.66,32.89,2.98,"Hillsborough CDP, New Jersey",US Census ACS5 2023
AMC,AMC Newport Centre 11,"Jersey City, NJ",Jersey City,NJ,matched,289691,94813,34.7,28.73,21.45,25.78,25.7,29.41,15.62,"Jersey City city, New Jersey",US Census ACS5 2023
AMC,AMC Wayne 12 with Prime,"Wayne, NJ",Wayne,NJ,no-match,,,,,,,,,,,
AMC,AMC DINE-IN Shops at Riverside 9 with Dolby,"Hackensack, NJ",Hackensack,NJ,matched,45768,82212,41.5,36.66,20.71,12.14,36.04,26.66,11.25,"Hackensack city, New Jersey",US Census ACS5 2023
TSN,Bernardsville 3,"Bernardsville, NJ",Bernardsville,NJ,matched,7871,231006,41.2,86.74,0.57,2.76,10.66,41.61,1.03,"Bernardsville borough, New Jersey",US Census ACS5 2023
INDRP,Clairidge Cinemas,"Montclair, NJ",Montclair,NJ,matched,2177,-666666666,20,70,13.46,8.08,11.39,78.64,,"Montclair State University CDP, New Jersey",US Census ACS5 2023
AMC,AMC Brunswick Square 13,"East Brunswick, NJ",East Brunswick,NJ,no-match,,,,,,,,,,,
LAND,Landmark Closter Plaza,"Closter, NJ",Closter,NJ,matched,8544,187500,40.3,50.69,2.75,32.21,9.88,36.19,7.18,"Closter borough, New Jersey",US Census ACS5 2023
BRIE,Montgomery 6,"Skillman, NJ",Skillman,NJ,matched,285,-666666666,54.3,68.77,20,0,1.4,24.07,3.86,"Skillman CDP, New Jersey",US Census ACS5 2023
AMC,AMC Fresh Meadows 7 with IMAX,"Fresh Meadows, NY",Fresh Meadows,NY,matched,8516202,79713,38,35.85,22.7,14.62,28.42,23.64,17.36,"New York city, New York",US Census ACS5 2023
AMC,AMC DINE-IN Bridgewater Commons 7,"Bridgewater, NJ",Bridgewater,NJ,matched,6198,201250,41.7,67.42,4.78,15.2,5.74,32.3,2.73,"Bridgewater Center CDP, New Jersey",US Census ACS5 2023
INDRP,Bellevue 3,"Upper Montclair, NJ",Upper Montclair,NJ,matched,12279,250001,41.3,75.91,4.91,4.39,6.52,35.67,1.77,"Upper Montclair CDP, New Jersey",US Census ACS5 2023
BRIE,South Orange Cinemas,"South Orange, NJ",South Orange,NJ,no-match,,,,,,,,,,,
CNMK,Hazlet 12,"Hazlet, NJ",Hazlet,NJ,no-match,,,,,,,,,,,
AMC,"AMC Jersey Gardens 20 with IMAX, Dolby","Elizabeth, NJ",Elizabeth,NJ,matched,135887,63874,35.8,24.84,17.08,1.79,66.75,9.81,15.3,"Elizabeth city, New Jersey",US Census ACS5 2023
REG,Regal New Roc,"New Rochelle, NY",New Rochelle,NY,matched,81591,103813,41.9,48.34,19.43,5.46,30.63,22.54,10.64,"New Rochelle city, New York",US Census ACS5 2023
AMC,AMC Mountainside 10,"Mountainside, NJ",Mountainside,NJ,matched,6967,210100,48.7,75.28,1.11,12.33,13.61,29.25,2.85,"Mountainside borough, New Jersey",US Census ACS5 2023
AMC,"AMC Monmouth Mall 15 with IMAX, Dolby","Eatontown, NJ",Eatontown,NJ,matched,13537,90174,45.5,65.6,7.22,12.89,14.89,24.21,5.75,"Eatontown borough, New Jersey",US Census ACS5 2023
AMC,AMC East Hanover 12,"East Hanover, NJ",East Hanover,NJ,no-match,,,,,,,,,,,
